Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Burkina Faso,BFA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.0198671999999999,-0.0241316,-0.0366614,-0.2919893,-0.3014107,-0.329758899999999,-0.363213299999999,-0.3391636,-0.388786099999999,-0.381726199999999,-0.347665399999999,-0.375203,-0.4520066,-0.4450109,-0.3288238,-0.2212838,-0.1525315,-0.1575363,-0.2008751,-0.2018274,-0.2024751,-0.2342071
Cabo Verde,CPV,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9189392,0.2984646,0.2967351,0.2245775,0.5718588,0.7083824,0.7952378,0.8879289,0.88572,0.8461885,0.9223281,0.8821601,0.8253651,0.8877993,0.888954,0.8563504,0.8080692,0.8724586,0.8894292,0.8002643,0.8975963,0.856269
Botswana,BWA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9811381,0.7836907,1.2396807,0.9443983,1.170669,0.9295641,0.9258834,1.0295129,0.9356014,1.0119522,1.0051672,1.0357782,0.9806396,0.8215662,0.7957375,0.8579361,0.7790808,0.851239,0.8223154,0.7218389,0.7018975,0.6506622
Cameroon,CMR,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.1590382,-1.3592621,-1.0642977,-1.1561621,-1.2320786,-0.851887899999999,-0.8274568,-0.7677497,-0.7867759,-0.9239071,-1.0477201,-1.2340704,-1.1694764,-1.1800614,-1.0952851,-1.1306679,-1.1579943,-1.1162626,-1.1336941,-1.057706,-1.115647,-1.1102965
Chad,TCD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.3036368,-1.3093816,-1.4853792,-1.30696719999999,-1.4441465,-1.2943601,-1.3736274,-1.53912579999999,-1.4957,-1.3954646,-1.3655434,-1.37646699999999,-1.4313551,-1.47772829999999,-1.5175651,-1.50292809999999,-1.4572612,-1.46041809999999,-1.4780052,-1.48219979999999,-1.4920803,-1.4663578
Comoros,COM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.970927299999999,-0.6501245,-0.6520842,-0.7728661,-0.839056199999999,-0.632225399999999,-0.634343,-0.7797098,-0.8052283,-0.795079099999999,-0.7945742,-0.7798117,-0.8220641,-0.8060681,-0.8467167,-0.8635472,-0.9443349,-1.02353499999999,-1.2697513,-1.32241109999999,-1.4088014,-1.33720709999999
"Congo, Rep.",COG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.496255199999999,-1.0193486,-1.02080329999999,-0.9621535,-1.1076439,-1.1397101,-1.1032439,-1.20842919999999,-1.20843909999999,-1.1727804,-1.1227079,-1.2236744,-1.1924841,-1.2753339,-1.2818737,-1.2697622,-1.3044744,-1.36936939999999,-1.4947169,-1.3702576,-1.34316449999999,-1.36385159999999
Eritrea,ERI,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.4891302,0.0850292,-0.0183844999999999,-0.212855599999999,-0.4150293,-0.4748534,-0.5423481,-0.6362941,-0.686655799999999,-0.720041399999999,-0.7517438,-0.872825699999999,-0.9908114,-1.124763,-1.3519275,-1.35281649999999,-1.320663,-1.4338129,-1.4238042,-1.3612091,-1.36851339999999,-1.3644356
Eswatini,SWZ,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.0313736,-0.0371185,-0.0390781,-0.303319699999999,-0.3043228,0.0827945,0.0810212999999999,0.1882327,0.1378584,-0.0920035999999999,-0.132006899999999,-0.111456099999999,-0.134462,-0.2843032,-0.2787246,-0.2738615,-0.0881199,-0.272451599999999,-0.2969784,-0.3014253,-0.5806756,-0.6085804
"Gambia, The",GMB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.240822799999999,-0.245087299999999,-0.1573975,-0.3962133,-0.6333333,-0.615959599999999,-0.6385879,-0.6917675,-0.7074094,-0.696732999999999,-0.6556196,-0.7701443,-0.8714738,-0.891646899999999,-0.9231417,-0.9137354,-0.503196099999999,-0.417942,-0.3416671,-0.222816799999999,-0.3139401,-0.3002052
